Date,Close/Last,Volume,Open,High,Low,Day 
08/02/2022,$111.77,6334415,$113.57,$113.78,$111.67,690
09/21/2020,$113.37,8486367,$112.95,$114.06,$111.74,691
09/01/2020,$114.84,4913969,$112.00,$114.90,$111.83,692
08/10/2022,$113.14,6951817,$113.24,$113.83,$111.86,693
09/03/2020,$112.85,7264372,$116.80,$116.90,$112.00,694
06/28/2023,$113.03,6765974,$113.34,$113.75,$112.12,695
01/24/2023,$126.83,5486219,$123.58,$128.01,$112.36,696
06/27/2023,$113.61,7138587,$112.53,$114.18,$112.43,697
08/05/2022,$113.87,4162241,$112.79,$114.30,$112.57,698
08/03/2022,$114.28,5986544,$113.42,$115.10,$112.58,699
06/29/2023,$113.37,12465530,$113.60,$114.27,$112.61,700
09/09/2020,$114.90,5997890,$113.02,$116.21,$112.83,701
09/22/2020,$116.87,13007210,$113.10,$117.20,$112.85,702
12/04/2023,$115.15,10086580,$113.08,$115.32,$113.00,703
08/19/2022,$113.16,5967762,$115.50,$115.65,$113.03,704
